dept_name,location
院办,主楼6、7层
党委办公室,主楼6、7层
科研处,主楼3、4、5层
财务,主楼3层
人事劳资处,主楼3层
党委组织部,主楼5层
党委宣传部,主楼5层
纪监审,主楼5层
企管法规处,主楼4、5层
安全环保处,主楼4层
国际合作处,主楼4层
工会,主楼5层
党委青年工作部,主楼5层
海外综合管理办公室,南教楼1层
总工办,主楼5层
专家室,科技楼10层
地质所,主楼1、2层
资源规划所,信息楼7层
实验中心,实验区1区
物探所,物探楼、主楼4层、实验2区
测井遥感所,科技楼
塔里木分院,
开发所,信息楼5层
开发规划所,信息楼7层
采收率所,实验区2、3区
热采所,实验区2、3区
软件中心,信息楼6层
海塔中心,老物业2层
鄂尔多斯分院,信息楼7层
采油所,实验区4区
装备所,实验区7区
油化所,实验区5区
工程监督中心,实验区7区
工程所,实验区4区
海外开发规划所,南教楼1、2层
国际所,信息楼8层
中亚所,信息楼6、8层
中东所,南教楼3层
非洲所,南教楼2层
美洲所,信息楼8层
亚太研究所,南教楼1、2、3层
计算所,信息楼4、8、9层
标准化所,信息楼5层
文献中心,信息楼6层
档案处,信息楼3、5层
基建办,新物业3层
培训中心,59楼1、2层
老干部处,老干部活动中心
物业中心,新物业、客服楼、锅炉房、2号站
居管会,居委会楼
梦溪宾馆,梦溪宾馆
瑞德公司,2号站2层
,
,
,
,
,
,
,
,
,
,
,信息楼
,
,
全球所,
,
,
,
,
,
,
,
,
,
,
,
,
装备所,
,
